datetime,targetLatency,sourceLatency
2017-11-27T21:43:59,17,34
2017-11-27T21:44:29,19,60
2017-11-27T21:44:59,19,85
2017-11-27T21:45:29,19,10
2017-11-27T21:45:59,21,35
2017-11-27T21:46:29,24,60
2017-11-27T21:46:59,27,84
2017-11-27T21:47:29,28,10
2017-11-27T21:47:59,30,35
2017-11-27T21:48:29,29,61
2017-11-27T21:48:59,29,89
2017-11-27T21:49:29,34,10
2017-11-27T21:49:59,36,36
2017-11-27T21:50:29,30,63
2017-11-27T21:50:59,37,84
2017-11-27T21:51:29,38,10
2017-11-27T21:51:59,38,36
2017-11-27T21:52:29,40,61
2017-11-27T21:52:59,41,86
2017-11-27T21:53:29,40,13
2017-11-27T21:53:59,43,38
2017-11-27T21:54:29,45,62
2017-11-27T21:54:59,45,89
2017-11-27T21:55:29,45,14
2017-11-27T21:55:59,47,39
2017-11-27T21:56:29,49,65
2017-11-27T21:56:59,49,91
2017-11-27T21:57:29,50,16
2017-11-27T21:57:59,55,37
2017-11-27T21:58:29,52,65
2017-11-27T21:59:00,56,88
2017-11-27T21:59:30,56,14
2017-11-27T22:00:00,55,42
2017-11-27T22:00:30,58,66
2017-11-27T22:01:00,60,92
2017-11-27T22:01:30,59,20
2017-11-27T22:02:00,61,44
2017-11-27T22:02:30,64,68
2017-11-27T22:03:00,65,95
2017-11-27T22:03:30,66,20
2017-11-27T22:04:00,67,45
2017-11-27T22:04:30,66,72
2017-11-27T22:05:00,66,97
2017-11-27T22:05:30,71,19
2017-11-27T22:06:00,73,44
2017-11-27T22:06:30,74,71
2017-11-27T22:07:00,81,91
2017-11-27T22:07:30,83,17
2017-11-27T22:08:00,82,45
2017-11-27T22:08:30,85,69
2017-11-27T22:09:00,87,92
2017-11-27T22:09:30,86,19
2017-11-27T22:10:00,88,45
2017-11-27T22:10:30,90,70
2017-11-27T22:11:00,88,97
2017-11-27T22:11:30,88,24
2017-11-27T22:12:00,90,49
2017-11-27T22:12:30,93,72
2017-11-27T22:13:00,93,99
2017-11-27T22:13:30,93,27
2017-11-27T22:14:00,92,54
2017-11-27T22:14:30,91,83
2017-11-27T22:15:00,90,11
2017-11-27T22:15:30,94,35
2017-11-27T22:16:00,92,63
2017-11-27T22:16:30,90,91
2017-11-27T22:17:00,88,20
2017-11-27T22:17:30,86,49
2017-11-27T22:18:00,89,73
2017-11-27T22:18:30,88,99
2017-11-27T22:19:00,89,26
2017-11-27T22:19:30,86,54
2017-11-27T22:20:00,84,83
2017-11-27T22:20:30,83,12
2017-11-27T22:21:00,83,37
2017-11-27T22:21:30,83,64
2017-11-27T22:22:00,83,92
2017-11-27T22:22:30,81,21
2017-11-27T22:23:00,80,49
2017-11-27T22:23:30,77,77
2017-11-27T22:24:00,80,02
2017-11-27T22:24:30,79,29
2017-11-27T22:25:00,75,58
2017-11-27T22:25:30,73,86
2017-11-27T22:26:00,72,14
2017-11-27T22:26:30,74,38
2017-11-27T22:27:00,72,66
2017-11-27T22:27:30,70,94
2017-11-27T22:28:00,68,23
2017-11-27T22:28:30,71,48
2017-11-27T22:29:00,71,74
2017-11-27T22:29:30,69,02
2017-11-27T22:30:00,66,31
2017-11-27T22:30:30,67,58
2017-11-27T22:31:00,69,82
2017-11-27T22:31:30,70,09
2017-11-27T22:32:00,69,37
2017-11-27T22:32:30,68,66
2017-11-27T22:33:00,67,93
2017-11-27T22:33:30,70,17
2017-11-27T22:34:00,69,45
2017-11-27T22:34:30,67,74
2017-11-27T22:35:00,65,01
2017-11-27T22:35:30,59,26
2017-11-27T22:36:00,58,53
2017-11-27T22:36:30,57,81
2017-11-27T22:37:00,56,10
2017-11-27T22:37:30,56,37
2017-11-27T22:38:00,59,61
2017-11-27T22:38:30,58,89
2017-11-27T22:39:00,57,17
2017-11-27T22:39:30,57,44
2017-11-27T22:40:00,57,71
2017-11-27T22:40:30,65,91
2017-11-27T22:41:00,64,19
2017-11-27T22:41:30,62,48
2017-11-27T22:42:00,60,75
2017-11-27T22:42:30,63,99
2017-11-27T22:43:00,62,27
2017-11-27T22:43:30,61,55
2017-11-27T22:44:00,60,82
2017-11-27T22:44:30,63,07
2017-11-27T22:45:00,63,34
2017-11-27T22:45:30,61,62
2017-11-27T22:46:00,59,89
2017-11-27T22:46:30,57,17
2017-11-27T22:47:00,60,42
2017-11-27T22:47:30,60,70
2017-11-27T22:48:00,59,97
2017-11-27T22:48:30,61,24
2017-11-27T22:49:00,62,49
2017-11-27T22:49:30,62,77
2017-11-27T22:50:00,60,05
2017-11-27T22:50:30,60,31
2017-11-27T22:51:00,61,56
2017-11-27T22:51:30,60,83
2017-11-27T22:52:00,60,11
2017-11-27T22:52:30,60,37
2017-11-27T22:53:00,62,63
2017-11-27T22:53:30,63,90
2017-11-27T22:54:00,60,18
2017-11-27T22:54:30,60,44
2017-11-27T22:55:00,60,71
2017-11-27T22:55:30,65,92
2017-11-27T22:56:00,64,19
2017-11-27T22:56:30,65,45
2017-11-27T22:57:00,66,72
2017-11-27T22:57:30,69,96
2017-11-27T22:58:00,69,23
2017-11-27T22:58:30,70,50
2017-11-27T22:59:00,71,75
2017-11-27T22:59:30,73,00
2017-11-27T23:00:00,73,27
2017-11-27T23:00:30,72,54
2017-11-27T23:01:00,72,81
2017-11-27T23:01:30,74,06
2017-11-27T23:02:00,75,33
2017-11-27T23:02:30,75,61
